SeasonID,SeasonID_label,EIR,LARVcov,Begin of rain,Dry season,End of rain,Mid of rain,Throughout the year
0,No seasonality,3,0,0,0,0,0,0
0,No seasonality,3,20,6.35017914373518,8.46639705132752,5.55687613080636,10.5603359412547,24.3828082775233
0,No seasonality,3,40,16.0075533663021,15.4280498350593,16.4442663486795,12.5215629057839,45.6472309069161
0,No seasonality,3,60,23.26963079157,19.6343886636297,22.8105483433792,22.2977816161278,64.5321972595274
0,No seasonality,3,80,35.0191224969288,29.9322630941362,32.5324205428113,34.6091513924837,77.1276023749172
0,No seasonality,3,100,48.7613467759675,51.4971860165722,50.916196058183,54.6578287436546,84.7905332831417
0,No seasonality,10,0,0,0,0,0,0
0,No seasonality,10,20,2.54351059758647,4.2069625819418,3.09696907306914,2.58984920943385,13.0757902401252
0,No seasonality,10,40,6.391714147816,5.74382388710802,4.37744471657103,5.70360434564355,29.9776052530333
0,No seasonality,10,60,9.39075384679545,7.95620977808468,7.22400355040567,8.88591496905464,46.8291336408146
0,No seasonality,10,80,12.6288989002145,11.7700667291165,12.195348370661,13.1304164864953,63.2278574535109
0,No seasonality,10,100,24.849878940083,23.539304668159,22.6694053961152,26.494260491166,76.8453630737795
0,No seasonality,90,0,0,0,0,0,0
0,No seasonality,90,20,0.539316651996407,-0.0307098599085357,-1.91301992675268,0.225927323182207,2.55141658033786
0,No seasonality,90,40,0.894932308951849,0.148221174586372,-0.886956327894179,-0.661446517876346,7.27802502806001
0,No seasonality,90,60,0.215443557007006,0.812855678707551,-0.290850867021672,-1.18022846978652,15.2546139141197
0,No seasonality,90,80,0.410922464125488,0.0899289379597939,0.232449725275432,-1.20269368792261,31.9097275778887
0,No seasonality,90,100,1.62750288036252,1.97483182866491,2.09664011973029,0.591406469473577,54.7210804307158
1-1,"Medium seasonality, one transmission season",3,0,0,0,0,0,0
1-1,"Medium seasonality, one transmission season",3,20,10.309794830824,0.548418445108259,2.61722516570624,20.4205817504889,25.5860094701662
1-1,"Medium seasonality, one transmission season",3,40,25.3547291743276,0.160116781077606,12.7088770214702,35.1285595377842,45.6320447972918
1-1,"Medium seasonality, one transmission season",3,60,36.0870081141704,0.0849762165848353,16.2492578416508,45.0791876908878,61.3473317561904
1-1,"Medium seasonality, one transmission season",3,80,55.2403418754762,9.69186406535975,37.541280452683,65.7830328269446,74.8335704894478
1-1,"Medium seasonality, one transmission season",3,100,74.9303466062048,19.3713265261639,37.5837657428891,76.1368131552352,81.431977121926
1-1,"Medium seasonality, one transmission season",10,0,0,0,0,0,0
1-1,"Medium seasonality, one transmission season",10,20,3.26859898181932,1.60078567086963,4.15604353951932,9.2507322172945,13.676830777581
1-1,"Medium seasonality, one transmission season",10,40,7.39780380407677,1.84800683692425,6.99972918142866,18.698612252344,27.8725186159664
1-1,"Medium seasonality, one transmission season",10,60,17.0497315275724,1.19597010873216,11.6416879135296,26.9714536921534,44.7373073194987
1-1,"Medium seasonality, one transmission season",10,80,25.7400179250213,4.11997793625588,15.3522158376804,39.9466408917288,59.8518283218938
1-1,"Medium seasonality, one transmission season",10,100,55.7780421314163,6.14109575227546,18.2294875189382,58.2428766044756,71.5448013325058
1-1,"Medium seasonality, one transmission season",90,0,0,0,0,0,0
1-1,"Medium seasonality, one transmission season",90,20,1.01596336870887,1.12385480456992,-0.245758262413604,0.75958121907996,4.38564058127208
1-1,"Medium seasonality, one transmission season",90,40,-0.0775853148338147,0.39587814889504,-0.325884790013652,2.53421896073035,10.5732504437889
1-1,"Medium seasonality, one transmission season",90,60,1.35931592237456,-0.285454185966329,0.117438159248382,5.24924690289627,20.0195473345095
1-1,"Medium seasonality, one transmission season",90,80,2.70824164737537,0.172605413261829,0.0596466775801988,9.524972499634,34.9573442015091
1-1,"Medium seasonality, one transmission season",90,100,21.4266716388907,-0.27861547001066,1.2117984335746,27.9541437958384,53.9870352375867
1-2,"Medium seasonality, two transmission seasons",3,0,0,0,0,0,0
1-2,"Medium seasonality, two transmission seasons",3,20,10.7569880928991,7.74659827023386,2.9001143743169,16.4137770606613,22.9884510738268
1-2,"Medium seasonality, two transmission seasons",3,40,15.0664548377855,13.4903197304107,9.06907106899476,28.1248601610291,44.7274836312689
1-2,"Medium seasonality, two transmission seasons",3,60,25.5070169746321,19.7186960111884,14.2612475107704,44.220386077381,63.5593261625922
1-2,"Medium seasonality, two transmission seasons",3,80,39.8104925572927,26.634715338323,21.7141976071206,53.8360862548902,76.4466116847973
1-2,"Medium seasonality, two transmission seasons",3,100,69.0567025257571,37.2508735034549,34.6964458628524,71.9049347589039,84.2802468996468
1-2,"Medium seasonality, two transmission seasons",10,0,0,0,0,0,0
1-2,"Medium seasonality, two transmission seasons",10,20,1.50624016657772,-1.64171740707632,2.26291075285987,8.94876235348054,16.5064782190034
1-2,"Medium seasonality, two transmission seasons",10,40,7.61980500904552,1.91550624858471,3.27254242214007,13.0486141795976,33.0340939873662
